콘텐츠ID,콘텐츠명_IPS,콘텐츠명_판매채널조회,콘텐츠형태,귀속법인,서비스유형,작가필명,등급,장르,세부장르,담당부서,담당자명,판매채널콘텐츠_전체,지급정산관리_존재_채널수,정산정보없음_채널수,사용안함_채널수,콘텐츠단위_rename_위험,권장조치
109581,[연재] 이름을 세 번 부를 때까지,[연재] 이름을 세 번 부를 때까지,소설,키다리스튜디오,단행본,두고,성인,여성향,BL,봄툰소설편집팀,허은지,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109611,[연재] 천마대전,[연재] 천마대전,소설,키다리스튜디오,연재,강태산,성인,남성향,성인물,소설편집팀,이선근,3,2,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109701,[연재]고려는 천조국이 되기로 하였습니다,[연재]고려는 천조국이 되기로 하였습니다,소설,키다리스튜디오,연재,소라게,비성인,남성향,"일반서,대체역사",소설편집팀,이선근,20,19,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
109711,[연재]국세청 망나니,[연재]국세청 망나니,소설,키다리스튜디오,연재,동면거북이,비성인,남성향,현대판타지,소설편집팀,이선근,15,14,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
110278,[연재]폭풍야(무삭제판),[연재]폭풍야(무삭제판),소설,키다리스튜디오,연재,강태산,성인,남성향,성인물,소설편집팀,이선근,2,1,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
110309,[연재]혼비백산,[연재]혼비백산,소설,키다리스튜디오,연재,강태산,비성인,남성향,무협,소설편집팀,이선근,3,2,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
111110,1980 독식하는 재벌!,1980 독식하는 재벌!,소설,키다리스튜디오,연재,독성,비성인,남성향,현대판타지,소설편집팀,이선근,27,26,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
111234,가짜 성녀에게 죽음을,가짜 성녀에게 죽음을,소설,키다리스튜디오,단행본,"(한설온),한설온",성인,여성향,"로맨스판타지,HL,현대로맨스",소설유통팀,권소현,18,17,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
111358,검정대륙행,검정대륙행,소설,키다리스튜디오,단행본,"사마달,사마달, 백창렬,사마달,백창렬",비성인,남성향,무협,소설편집팀,이선근,11,9,2,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
111394,격렬한 청혼 세트,격렬한 청혼 세트,소설,키다리스튜디오,단행본,적랑,비성인,,현대로맨스,소설편집팀,이선근,6,5,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
111868,깜빵에서 재벌까지!,깜빵에서 재벌까지!,소설,키다리스튜디오,단행본,베이스,비성인,남성향,판타지,소설편집팀,이선근,22,21,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
112177,노룡탄,노룡탄,소설,키다리스튜디오,단행본,강태산,비성인,,무협,소설편집팀,이선근,3,2,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
112179,노룡탄(무삭제판),노룡탄(무삭제판),소설,키다리스튜디오,단행본,강태산,성인,남성향,성인물,소설편집팀,이선근,8,7,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
112210,논 마라나타(non marana tha),논 마라나타(non marana tha),소설,키다리스튜디오,단행본,두고,성인,여성향,BL,봄툰소설편집팀,허은지,10,9,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
112401,달콤한 최면 연재,달콤한 최면 연재,소설,키다리스튜디오,연재,꾸밍크,성인,여성향,BL,봄툰소설편집팀,배지은,9,8,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
112528,던전 마제스티,던전 마제스티,소설,키다리스튜디오,단행본,박제후,비성인,,판타지,소설편집팀,이선근,14,13,1,0,Y,IPS 콘텐츠명 전체 rename 위험: 채널 단위 관리 필요
