콘텐츠ID,변경전콘텐츠명,변경후콘텐츠명,candidate_원본콘텐츠명,변경여부,처리사유,콘텐츠형태,담당부서,담당자명
160281,이모의유혹권,[정산정보없음]_이모의유혹권,이모의유혹권,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160286,교수님과하룻밤을보낼거야,[정산정보없음]_교수님과하룻밤을보낼거야,교수님과하룻밤을보낼거야,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160317,SEX실전테크닉,[정산정보없음]_SEX실전테크닉,SEX실전테크닉,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160328,그놈의달콤한키스는슬프고도아름다운유혹,[정산정보없음]_그놈의달콤한키스는슬프고도아름다운유혹,그놈의달콤한키스는슬프고도아름다운유혹,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160330,야생녀 내 여자 만들기,[정산정보없음]_야생녀 내 여자 만들기,야생녀 내 여자 만들기,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160332,그여자의숲,[정산정보없음]_그여자의숲,그여자의숲,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160333,홀로서기,[정산정보없음]_홀로서기,홀로서기,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160334,그녀가돌아왔다,[정산정보없음]_그녀가돌아왔다,그녀가돌아왔다,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160336,운명에게,[정산정보없음]_운명에게,운명에게,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160337,7살차이,[정산정보없음]_7살차이,7살차이,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
