순수판정,조치,플랫폼,S2판매채널명,판매채널콘텐츠ID,판매채널ID,콘텐츠ID,콘텐츠명,콘텐츠형태,판매채널명,사용안함_사용금지_표식,지급정산관리_존재,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,IPS_존재,콘텐츠명_IPS,담당부서,담당자명,장르,세부장르,원본파일,판매채널콘텐츠ID_빈값,지급정산관리_지급정산상태,지급정산관리_승인상태,귀속법인,서비스유형,작가필명,등급
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),675255,87,112272,능력 믿고 막 간다,소설,교보문고(소설),N,N,,,,Y,능력 믿고 막 간다,소설편집팀,이선근,남성향,판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,반취객,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),112990,87,112400,달콤한 최면 세트,소설,교보문고(소설),N,N,,,,Y,달콤한 최면 세트,봄툰소설편집팀,배지은,여성향,BL,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,꾸밍크,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),804038,87,295607,대륙의검,소설,교보문고(소설),N,N,,,,Y,대륙의검,소설유통팀,김성경,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488195,87,160066,독검,소설,교보문고(소설),N,N,,,,Y,독검,소설편집팀,이선근,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,"와룡생,와룡생 | 김종진 번역",비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),836894,87,295631,드래곤 레어에 조난당했다,소설,교보문고(소설),N,N,,,,Y,드래곤 레어에 조난당했다,소설편집팀,천승민,남성향,판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,연재,,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),113311,87,112711,뜨겁고 강렬하게,소설,교보문고(소설),N,N,,,,Y,뜨겁고 강렬하게,패밀리케어팀,남단미,,"현대로맨스,로맨스",교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,"세리,지혜인",성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),853137,87,323032,러브 바이트[봄툰KR],소설,교보문고(소설),N,N,,,,Y,러브 바이트[봄툰KR],봄툰소설편집팀,허은지,여성향,BL,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,삐삐,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488200,87,160165,마두,소설,교보문고(소설),N,N,,,,Y,마두,소설편집팀,이선근,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,"진청운,진청운 | 이덕옥 번역",비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487093,87,246334,"마약,천사의가루?:환각제",소설,교보문고(소설),N,N,,,,Y,"마약,천사의가루?:환각제",소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),163140,87,160067,무림성,소설,교보문고(소설),N,N,,,,Y,무림성,소설편집팀,이선근,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,와룡생,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),163350,87,160166,무유지,소설,교보문고(소설),N,N,,,,Y,무유지,소설편집팀,이선근,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,"와룡생,와룡생 | 정종국 번역",비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),113935,87,113308,백번째 남자,소설,교보문고(소설),N,N,,,,Y,백번째 남자,소설편집팀,이선근,,현대로맨스,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,박윤후,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487072,87,246316,"보고싶은나라,알고싶은나라-태국",소설,교보문고(소설),N,N,,,,Y,"보고싶은나라,알고싶은나라-태국",소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487088,87,246329,보스의가정부,소설,교보문고(소설),N,N,,,,Y,보스의가정부,소설편집팀,이선근,,현대로맨스,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,여나,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),810429,87,321235,"부디, 당신께 바라기를",소설,교보문고(소설),N,N,,,,Y,"부디, 당신께 바라기를",봄툰소설편집팀,배지은,여성향,로맨스판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,연재,,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),114085,87,113455,불량 연애 세트,소설,교보문고(소설),N,N,,,,Y,불량 연애 세트,봄툰소설편집팀,배지은,여성향,BL,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,틸루,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487099,87,246340,사계절세계의축제,소설,교보문고(소설),N,N,,,,Y,사계절세계의축제,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487074,87,246317,사랑할땐왜눈을감는것일까?:별밤호기심물음대전원고,소설,교보문고(소설),N,N,,,,Y,사랑할땐왜눈을감는것일까?:별밤호기심물음대전원고,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,편집부,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),809273,87,321145,사용 안함,소설,교보문고(소설),N,N,,,,Y,사용 안함,소설2팀,김인희,남성향,성인물,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,연재,,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487089,87,246330,삼인행,소설,교보문고(소설),N,N,,,,Y,삼인행,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,박노갑,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),677871,87,113923,소뢰아,소설,교보문고(소설),N,N,,,,Y,소뢰아,소설편집팀,이선근,남성향,성인물,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,강태산,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488196,87,160162,소림대협,소설,교보문고(소설),N,N,,,,Y,소림대협,소설편집팀,이선근,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,"와룡생,와룡생 | 정종국 번역",비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),163305,87,160151,소설황당무계,소설,교보문고(소설),N,N,,,,Y,소설황당무계,소설2팀,김인희,기타,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,박소천,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),804041,87,114000,수라문,소설,교보문고(소설),N,N,,,,Y,수라문,소설편집팀,이선근,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,"강태산,사의천,와룡강",비성인
