file,relative_path,platform,file_size,extension,read_status,creator,last_modified_by,created,modified,modified_after_created_minutes,revision,application,total_time_minutes,sheet_count,hidden_sheets,very_hidden_sheets,sheet_names,used_ranges,formula_cells,array_formula_cells,merged_cells,comments_parts,hyperlinks,external_links,connections,query_tables,pivot_tables,tables,drawings,charts,images,sheet_protections,workbook_protection,auto_filters,data_validations,conditional_formats,defined_names,calc_mode,full_calc_on_load,force_full_calc,custom_properties,vba_project,touch_indicators,suspicion_score,suspicion_level
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\부커스\2월\2026년 2월 부커스 정산상세.xlsx,부커스\2월\2026년 2월 부커스 정산상세.xlsx,부커스,21093,.xlsx,ok,User,User,2026-03-03T05:16:41Z,2026-03-03T05:16:42Z,0.02,,Microsoft Excel,,1,0,0,CP 콘텐츠별 정산,sheet1.xml:A1:J193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\북큐브\2월\2026년 2월 북큐브(로맨스) 정산상세.xlsx,북큐브\2월\2026년 2월 북큐브(로맨스) 정산상세.xlsx,북큐브,20898,.xlsx,ok,scm,scm,2026-03-05T03:20:29Z,2026-03-05T03:20:29Z,0.0,,Microsoft Excel,,1,0,0,Sheet1,sheet1.xml:A1:S181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\북큐브\2월\2026년 북큐브(판무) 정산상세.xlsx,북큐브\2월\2026년 북큐브(판무) 정산상세.xlsx,북큐브,39290,.xlsx,ok,scm,scm,2026-03-05T02:21:14Z,2026-03-05T02:21:14Z,0.0,,Microsoft Excel,,1,0,0,Sheet1,sheet1.xml:A1:S469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\북팔\2월\2026년 2월 북팔 정산상세.xlsx,북팔\2월\2026년 2월 북팔 정산상세.xlsx,북팔,12437,.xlsx,ok,bookpal books,임 재경(KSTD),2026-03-04T12:08:40Z,2026-03-04T03:10:16Z,-538.4,,Microsoft Excel,,1,0,0,2026-02-01 ~ 2026-02-28,sheet1.xml:A1:H49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,작성자와 최종수정자 다름(bookpal books -> 임 재경(KSTD)) | 시트보호 1,5,medium
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\블라이스\2월\2026년 2월 블라이스 정산상세.xlsx,블라이스\2월\2026년 2월 블라이스 정산상세.xlsx,블라이스,19044,.xlsx,ok,User,User,2026-03-05T00:59:48Z,2026-03-05T00:59:48Z,0.0,,Microsoft Excel,,1,0,0,CP정산20260305_095913,sheet1.xml:A1:V66,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\스낵북\2월\2026년 2월 스낵북 정산상세.xlsx,스낵북\2월\2026년 2월 스낵북 정산상세.xlsx,스낵북,10357,.xlsx,ok,User,User,2026-03-03T08:17:54Z,2026-03-03T08:17:54Z,0.0,,Microsoft Excel,,1,0,0,settle_list_202602_C262666768_2,sheet1.xml:A1:G8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx,스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx,스토린랩,143159,.xlsx,ok,user,User,2022-01-25T01:20:41Z,2026-04-09T05:37:48Z,2210657.12,,Microsoft Excel,,3,0,0,정리 | 원스 | 원스(북패스),sheet1.xml:B1:G12 | sheet2.xml:A1:HG153 | sheet3.xml:A1:FH27,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,0,0,작성자와 최종수정자 다름(user -> User) | 생성 후 1535.2일 뒤 저장 | 수식셀 9,10,high
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세.xlsx,알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세.xlsx,알라딘 종이책,10522,.xlsx,ok,User,임 재경(KSTD),2026-03-04T00:06:00Z,2026-03-04T01:13:35Z,67.58,,Microsoft Excel,,1,0,0,거래처별 거래원장,sheet1.xml:A1:M13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,작성자와 최종수정자 다름(User -> 임 재경(KSTD)) | 생성 후 1.1시간 뒤 저장,7,high
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(날개물류 2월 거래내역).xlsx,알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(날개물류 2월 거래내역).xlsx,알라딘 종이책,10270,.xlsx,ok,User,User,2026-03-04T00:06:00Z,2026-03-04T00:06:17Z,0.28,,Microsoft Excel,,1,0,0,거래처별 거래원장,sheet1.xml:A1:M10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(알라딘 2월 거래내역).xlsx,알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(알라딘 2월 거래내역).xlsx,알라딘 종이책,13161,.xlsx,ok,,임 재경(KSTD),2026-03-06T00:48:15Z,2026-03-06T00:48:15Z,0.0,,Microsoft Excel,,1,0,0,알라딘 2월 거래내역,sheet1.xml:A1:K9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,0,0,,0,low
