판정등급,조치,플랫폼,S2판매채널명,S2판매채널ID,거래처코드,거래처명,판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제키,판매채널콘텐츠_콘텐츠형태,지급정산관리_존재,정산서샘플_등장,사용안함_사용금지_표식,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,정산서샘플_등장파일
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,901124,109925,[사용안함]_보수적인데 팬티는 왜 벗어?_친구 엄마와 친구 먹기_타락 부부_어쩌다 근친_골 때리는 엄마들_일찐 친구엄마와 가족들을 따먹는다_미도파,보수적인데팬티는왜벗어친구엄마와친구먹기타락부부어쩌다근친골때리는엄마들일찐친구엄마와가족들을따먹는다미도파,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,672883,108042,[사용안함]_상담 클리닉_얼끼,상담클리닉얼끼,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109851,109331,[사용안함]_색마님 안마하신다_용병애쉬,색마님안마하신다용병애쉬,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108568,108055,[사용안함]_서큐버스 하렘_외도정사,서큐버스하렘외도정사,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,673214,109332,[사용안함]_성기가 발기되어 천하통일!_테서스,성기가발기되어천하통일테서스,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109853,109333,[사용안함]_섹스로 지배한다_용병애쉬,섹스로지배한다용병애쉬,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,700251,313412,[사용안함]_수를 읽는 남자 : 세상을 바꾸는 컨설턴트_준강,수를읽는남자세상을바꾸는컨설턴트준강,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,698209,114055,[사용안함]_슈퍼스타_누구도 막을 수 없어!!!!!!_구라천재,슈퍼스타누구도막을수없어구라천재,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,704658,114056,[사용안함]_슈퍼스타_누구도 막을 수 없어!!!!!!_구라천재,슈퍼스타누구도막을수없어구라천재,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,839457,322021,[사용안함]_스마트폰_와이프는 절대고수_무당 귀환_달인_재벌집 망나니 7대 독자_업어 키운 사매들_신작 1_앤서,스마트폰와이프는절대고수무당귀환달인재벌집망나니대독자업어키운사매들신작앤서,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,805418,320965,[사용안함]_스킬스 현대편_서오,스킬스현대편서오,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,805417,320964,[사용안함]_스킬스_서오,스킬스서오,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,673220,109334,[사용안함]_신체가 강화됨_탄마,신체가강화됨탄마,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108569,108056,[사용안함]_아내와 나의 네토라세_총총k,아내와나의네토라세총총k,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108570,108057,[사용안함]_아버지가 남긴 USB_외도정사,아버지가남긴usb외도정사,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,696479,114269,[사용안함]_아빠의 게임_정현우,아빠의게임정현우,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,489188,247246,[사용안함]_아이돌 매니저가 변태 사진사임_탄마,아이돌매니저가변태사진사임탄마,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,863935,320889,[사용안함]_아포칼립스의 유일한 플레이어_쓰고또쓰고,아포칼립스의유일한플레이어쓰고또쓰고,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,673230,109335,[사용안함]_악마의 경쟁회귀 시스템에 들어와 버렸다_테서스,악마의경쟁회귀시스템에들어와버렸다테서스,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108571,108058,[사용안함]_야설로 보는 그리스 로마 신화_외도정사,야설로보는그리스로마신화외도정사,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,688744,315278,[사용안함]_어웨이큰 - 분노의 학살자_테서스,어웨이큰분노의학살자테서스,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108556,108043,[사용안함]_어쩌다 근친_미도파,어쩌다근친미도파,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109857,109337,[사용안함]_여대생 길들이기_O링,여대생길들이기o링,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108572,108059,[사용안함]_여사친의 스마트폰_용병애쉬,여사친의스마트폰용병애쉬,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108580,108067,[사용안함]_여친의 언니_탐욕적인창작자,여친의언니탐욕적인창작자,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,672893,108044,[사용안함]_여후배의 최면_남선배_탐욕적인창작자,여후배의최면남선배탐욕적인창작자,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109858,109338,[사용안함]_역전세계의 금태양_나물반찬,역전세계의금태양나물반찬,소설,N,N,Y,,,,
