순번,상태,플랫폼,판매채널명,판매채널ID,행수,파일명,저장경로,오류
35,success,올툰,올툰,466,826,올툰_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\올툰_원본.xlsx,
36,success,올툰,올툰(소설),1108,336,올툰(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\올툰(소설)_원본.xlsx,
37,success,원스토어,원스토어(소설),92,9999,원스토어(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\원스토어(소설)_원본.xlsx,
38,success,윌라,윌라(오디오북),41,247,윌라(오디오북)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\윌라(오디오북)_원본.xlsx,
39,success,윌라,윌라(전자책),38,500,윌라(전자책)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\윌라(전자책)_원본.xlsx,
40,success,조아라,조아라(소설),79,1264,조아라(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\조아라(소설)_원본.xlsx,
41,success,카카오,카카오페이지(선투자),31,760,카카오페이지(선투자)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\카카오페이지(선투자)_원본.xlsx,
42,success,카카오,카카오페이지(소설),32,1244,카카오페이지(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\카카오페이지(소설)_원본.xlsx,
43,success,카카오,카카오페이지(창작지원금),30,1334,카카오페이지(창작지원금)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\카카오페이지(창작지원금)_원본.xlsx,
44,success,큐툰,큐툰(소설 서비스),47,415,큐툰(소설 서비스)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\큐툰(소설 서비스)_원본.xlsx,
45,success,토스(구루컴퍼니),구루컴퍼니,453,807,구루컴퍼니_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\구루컴퍼니_원본.xlsx,
46,success,토스(구루컴퍼니),토스(소설),1109,620,토스(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\토스(소설)_원본.xlsx,
47,success,판무림,판무림,62,9127,판무림_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\판무림_원본.xlsx,
48,success,피우리(누온),누온,88,2398,누온_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\누온_원본.xlsx,
49,success,피플앤스토리,피플앤스토리 (P2P 웹소설 서비스),75,1749,피플앤스토리 (P2P 웹소설 서비스)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\피플앤스토리 (P2P 웹소설 서비스)_원본.xlsx,
50,success,하이북,웹소설 하이북,76,3544,웹소설 하이북_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\웹소설 하이북_원본.xlsx,
51,success,한아름,한아름(P000003716),70,7442,한아름(P000003716)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\한아름(P000003716)_원본.xlsx,
