정제키,채널수,총행수,대표세부판단유형,세부판단유형목록,콘텐츠마스터_fuzzy_overlay,판매채널목록,원문예시,대표근거
스피크오브더데블,1,5,"콘텐츠마스터 있음, 판매채널/지급정산 신규 판단","콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(5)",,리디북스(소설),[e북]스피크 오브 더 데블(Speak Of The Devil) 5권 (완결) | [e북]스피크 오브 더 데블(Speak Of The Devil) 4권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 1권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 2권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 3권,159989::스피크 오브 더 데블::패밀리케어팀::원대연
용쟁혈투,1,5,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(5),,교보문고(소설),용쟁혈투 1 | 용쟁혈투 2 | 용쟁혈투 3 | 용쟁혈투 4 | 용쟁혈투 5,B_잠재오염_정산정보없음::163147::160068::용쟁혈투
중원지,2,5,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(4) | 같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,교보문고(소설) | 미스터블루(소설),중원지 1 | 중원지 2 | 중원지 3 | 중원지 4 | 중원지 [단행본],B_잠재오염_정산정보없음::163369::160173::중원지 || A_정산서등장_정산정보없음::163370::160173::중원지
각인예속의사냥꾼,3,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,Yes24(서점) | 구글(소설) | 블라이스_일반결제,각인 예속의 사냥꾼 12권 | 각인 예속의 사냥꾼 11권 | 각인 예속의 사냥꾼 1권 | 각인 예속의 사냥꾼,밀리의 서재::107780 || 알라딘(소설)(1068659313)::107780 || 리디북스(소설)::107780 || 스낵북(알에스)::107780 || 윌라(전자책)::107780 || 밀리의 서재::107780 || 알라딘(소설)(1068659313)::107780 || 리디북스(소설)::107780 || 스낵북(알에스)::107780 || 윌라(전자책)::107780 || 밀리의 서재::107780 || 알라딘(소설)(1068659313)::107780 || 리디북스(소설)::107780 || 스낵북(알에스)::107780 || 윌라(전자책)::107780
곤륜신기전,1,4,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(4),,카카오페이지(선투자),곤륜신기전,A_정산서등장_정산정보없음::111210::110683::[카카오]곤륜신기전
귀축기담,1,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,Yes24(서점),귀축기담 01권 | 귀축기담 02권 | 귀축기담 03권 | 귀축기담 04권 (완결),밀리의 서재::107785 || 알라딘(소설)(1068659313)::107785 || 네이버_연재::107785 || 윌라(전자책)::107785 || 판무림::107785
내가키운용사가나한테집착한다,1,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,윌라(전자책),내가 키운 용사가 나한테 집착한다 1 | 내가 키운 용사가 나한테 집착한다 2 | 내가 키운 용사가 나한테 집착한다 3 | 내가 키운 용사가 나한테 집착한다 8,네이버_장르::107791 || 북팔(소설)::107791 || 네이버_연재::107791 || 구글(소설)::107791 || 리디북스(소설)::107791
범죄자의일상생활,2,4,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(4),,웹소설 하이북 | 윌라(전자책),범죄자의 일상생활 1 | 범죄자의 일상생활 2 | 범죄자의 일상생활 5 | 범죄자의 일상생활,알라딘(소설)(1068659313)::109330 || 에피루스 이북클럽(B2C)::109330 || 교보문고(톡소다)::109330 || 리디북스(이벤트)::109330 || 스낵북(알에스)::109330 || 알라딘(소설)(1068659313)::109330 || 에피루스 이북클럽(B2C)::109330 || 교보문고(톡소다)::109330 || 리디북스(이벤트)::109330 || 스낵북(알에스)::109330
십교종사,4,4,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(2) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(2),,네이버_장르 | 미스터블루(소설) | 웹소설 하이북 | 한아름(P000003716),십교종사 [단행본] | 십교종사 [단행본] | 십교종사,A_정산서등장_정산정보없음::209289::114193::십교종사 || A_정산서등장_정산정보없음::209291::114193::십교종사 || B_잠재오염_정산정보없음::209295::114193::십교종사
월드스타가될운명입니다,1,4,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(4)",콘텐츠마스터 부분포함 후보(사용안함/묶음)(1),카카오페이지(선투자),월드스타가 될 운명입니다,0.7387::320883::[사용안함]_월드스타가 될 운명입니다_마늘소금::소설편집팀::조원재 || 0.7387::320886::[사용안함]_월드스타가 될 운명입니다_마늘소금::소설편집팀::조원재
