세부판단유형,원판단유형,판매채널,정제키,행수,원문예시,같은채널_판매채널콘텐츠_근거,콘텐츠마스터_근거,타채널_지급정산_근거,기존대표근거,권고
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,원스토어(소설),시간의마에스트로,10,시간의 마에스트로,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타작품/시리즈 동일성 확인,작품 동일성 판단,카카오페이지(선투자),독식하는재벌세,10,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],,,,교보문고(소설) / 1980 독식하는 재벌! / 0.9231,동일작/시리즈 관계 확인 전 자동 처리 금지
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,밀리의 서재,슈퍼스타누구도막을수없어,10,"슈퍼스타, 누구도 막을 수 없어!!!!!!",,303817::[CP오디오] 슈퍼스타 누구도 막을 수 없어(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110469 || 윌라(오디오북)::110469,"카카오페이지(소설)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469 || 윌라(오디오북)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469",타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,원스토어(소설),슈퍼스타누구도막을수없어,10,"슈퍼스타, 누구도 막을 수 없어!!!!!!",,303817::[CP오디오] 슈퍼스타 누구도 막을 수 없어(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110469 || 윌라(오디오북)::110469,"카카오페이지(소설)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469 || 윌라(오디오북)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469",타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,판무림,신체가강화됨,10,신체가 강화됨,,,Yes24(서점)::107764 || 네이버_연재::107764 || 윌라(전자책)::107764 || 윌라(오디오북)::107764 || 밀리의 서재::107764,Yes24(서점)::신체가 강화됨::107764 || 네이버_연재::신체가 강화됨::107764 || 윌라(전자책)::신체가 강화됨::107764 || 윌라(오디오북)::신체가 강화됨::107764 || 밀리의 서재::신체가 강화됨::107764,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,교보문고(소설),소설황당무계,9,소설 황당무계 1 | 소설 황당무계 2 | 소설 황당무계 3 | 소설 황당무계 4 | 소설 황당무계 5 | 소설 황당무계 6,B_잠재오염_정산정보없음::163305::160151::소설황당무계,160151::[정산정보없음]_소설황당무계::소설2팀::김인희,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
"콘텐츠마스터 없음, 원천 작품 확인",채널 보강 판단,구글(소설),고인물무림에가다,9,"고인물, 무림에 가다 1권 | [10%할인] 고인물, 무림에 가다 1권",,,,네이버_연재 / 고인물 무림에 가다_갈드_창작지원금 / 0.91,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,원스토어(소설),sm클럽암캐가된여자들,9,SM클럽 -암캐가 된 여자들-,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,노벨피아 (소설),마왕군전입을명받았습니다,9,마왕군 전입을 명 받았습니다,,303800::[CP오디오] 마왕군 전입을 명 받았습니다(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110466 || 윌라(오디오북)::110466,카카오페이지(소설)::마왕군 전입을 명 받았습니다::110466 || 윌라(오디오북)::마왕군 전입을 명 받았습니다::110466,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,부커스,핵무기도만들어드릴까요,9,핵무기도 만들어 드릴까요? 1권 | 핵무기도 만들어 드릴까요? 17권 | 핵무기도 만들어 드릴까요? 3권 | 핵무기도 만들어 드릴까요? 6권 | 핵무기도 만들어 드릴까요? 2권 | 핵무기도 만들어 드릴까요? 5권,,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아,문피아::110907 || 카카오페이지(선투자)::110907,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
