schema_version,platform,source_file,source_sheet,source_row_no,schema_status,row_status,title_present,author_present,sale_type,external_work_id,gross_sales_amount,settlement_base_amount_candidate_calc,settlement_amount_candidate_payout,offset_payment_fee_amount,offset_event_fee_amount,used_coin_count,cancel_coin_count,amount_rule_status,match_status,s2_projection_status,validation_issues
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,79,parsed,data,True,True,소설,,4500,4500,3150,0,0,45,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,80,parsed,data,True,True,소설,,3600,3600,2520,0,0,36,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,81,parsed,data,True,True,소설,,3600,3600,2520,0,0,36,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,82,parsed,data,True,True,소설,,3600,3600,2520,0,0,36,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,83,parsed,data,True,True,소설,,1800,1800,1260,0,0,18,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,84,parsed,data,True,True,소설,,1800,1800,1260,0,0,18,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,85,parsed,data,True,True,소설,,6300,6300,4410,0,0,63,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,86,parsed,data,True,True,소설,,6300,6300,4410,0,0,63,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,87,parsed,data,True,True,소설,,9000,9000,6300,0,0,90,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
settlement_normalized_v1,무툰,2026년 4월 무툰 정산상세.xlsx,Sheet,88,parsed,data,True,True,소설,,2700,2700,1890,0,0,27,0,needs_coin_policy,not_tested,blocked_until_amount_policy_and_mapping,
