cluster_rank,sheet_count,signature,example_1,example_all
21,5,작품명|작가명|금액|비율|정산금액|정산일,조아라\1월\로맨스\2026년 1월 조아라 로맨스 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2026-1,조아라\1월\로맨스\2026년 1월 조아라 로맨스 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2026-1 || 조아라\1월\판무\2026년 1월 조아라 판무 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2026-1 || 조아라\25년\10월\판무\2025년 10월 조아라 판무 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2025-10 || 조아라\25년\12월\판무\2025년 12월 조아라 판무 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2025-12 || 조아라\2월\판무\2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx::후원쿠폰-작품별 정산_2026-2
22,4,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계|정산금액,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-11-04,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-11-04 || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-12-03 || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2026-01-06 || 네이버\25년\9월\선투자\2025년 9월 네이버 선투자 정산상세(통합).xlsx::contentsSelling_2025-10-10
23,4,타이틀|날짜|종류|전체판매건수|판매코인|수익률|전체매출원|결제수수료원|지급액원미소설|지급액원asp|총지급액원,미소설\25년\10월\2025년 10월 미소설 정산상세.xlsx::cpexcel20251103090930,미소설\25년\10월\2025년 10월 미소설 정산상세.xlsx::cpexcel20251103090930 || 미소설\25년\11월\2025년 11월 미소설 정산상세.xlsx::cpexcel20251201091341 || 미소설\25년\12월\2025년 12월 미소설 정산상세.xlsx::cpexcel20260102093612 || 미소설\25년\9월\2025년 9월 미소설 정산상세.xlsx::2025년 8월 에피루스 정산상세
24,4,기간|제공사|계정id|콘텐츠|출판사|작품코드|작품명|작가명|정액|종량|합계정액+종량,미스터블루\10월\2025년 10월 미스터블루 정산상세_프모비교.xlsx::작품별,미스터블루\10월\2025년 10월 미스터블루 정산상세_프모비교.xlsx::작품별 || 미스터블루\10월\2025년 10월 미스터블루 정산상세.xlsx::작품별 || 미스터블루\11월\2025년 11월 미스터블루 정산상세.xlsx::작품별 || 미스터블루\9월\2025년 9월 미스터블루 정산상세.xlsx::작품별
25,4,기간|제공사|계정id|콘텐츠|출판사|작품코드|작품명|작가명|볼륨no|볼륨명|가격|판매단위|전권할인|판매형태|블루머니|a앱머니|i앱머니|소계,미스터블루\10월\2025년 10월 미스터블루 정산상세_프모비교.xlsx::볼륨별,미스터블루\10월\2025년 10월 미스터블루 정산상세_프모비교.xlsx::볼륨별 || 미스터블루\10월\2025년 10월 미스터블루 정산상세.xlsx::볼륨별 || 미스터블루\11월\2025년 11월 미스터블루 정산상세.xlsx::볼륨별 || 미스터블루\9월\2025년 9월 미스터블루 정산상세.xlsx::볼륨별
26,3,순번|필명|아이디|작품명|판매수|매출|배분율|수익금|비고,북팔\10월\2025년 10월 북팔 정산상세.xlsx::마켓,북팔\10월\2025년 10월 북팔 정산상세.xlsx::마켓 || 북팔\11월\2025년 11월 북팔 핫딜수익금 정산상세.xlsx::마켓 || 북팔\9월\2025년 9월 북팔 정산상세.xlsx::마켓
27,3,매출기간월|작품명|정산수수료율%|코인사용수량개|총매출액원|앱스토어수수료원|올웨이즈수수료원|순매출|정산대상금액수수료제,올툰\10월\2025년 10월 올툰 정산상세.xlsx::시트1,올툰\10월\2025년 10월 올툰 정산상세.xlsx::시트1 || 올툰\11월\2025년 11월 올툰 정산상세.xlsx::시트1 || 올툰\9월\2025년 9월 올툰 정산상세.xlsx::시트1
28,3,번호|판매년월|제목|작가|출판사|플랫폼|판매형태|정가|판매가|판매수|매출액|정산액|계약비율|피우리상품번호|cp관리번호,피우리(누온)\10월\2025년 10월 누온(피우리) 정산상세.xlsx::Worksheet,피우리(누온)\10월\2025년 10월 누온(피우리) 정산상세.xlsx::Worksheet || 피우리(누온)\11월\2025년 11월 누온(피우리) 정산상세.xlsx::Worksheet || 피우리(누온)\9월\2025년 9월 피우리 정산상세.xlsx::Worksheet
29,2,번호|카테고리|제목|저자명|출간일|판매가|구매비|출판사명|서비스연령|선정여부|비고,보인&국립장애인도서관\2026년 3월 국립장애인도서관 정산상세.xlsx::목록선정_1차 구매,보인&국립장애인도서관\2026년 3월 국립장애인도서관 정산상세.xlsx::목록선정_1차 구매 || 보인&국립장애인도서관\2026년 3월 국립장애인도서관 정산상세.xlsx::목록선정_0313
30,2,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스(북패스),스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스(북패스) || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스(북패스)
