catalog_group_index,platform,sheet_count,file_count,status,schema_signature,top_sheet_names,header_row_distribution,row_count_min,row_count_max,column_count_min,column_count_max,flags,raw_title_candidates,external_content_id_candidates,sale_amount_candidates,settlement_base_amount_candidates,offset_amount_candidates,headers_preview,examples,example_rel_path,example_sheet,open_status,workbook_sheets,sheet_max_row,sheet_max_column,best_header_row,best_header_score,best_header_metrics_json,best_header_preview,repeated_header_rows,structure_notes
11,스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|채널상품명|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|매출지분|전체이용금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,54,54,158,158,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 채널상품명 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 매출지분 | 전체 이용금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스(북패스),스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx,원스(북패스),opened,정리 | 원스 | 원스(북패스),54,158,1,48.0,"{""non_empty"": 39, ""keyword_hits"": 11, ""title_hits"": 2, ""money_hits"": 6, ""id_hits"": 4, ""data_like"": 0}",판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 채널상품명 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 매출지분 | 전체 이용금액 | 카테고리 | 타입 | 건수,1,multi_sheet_workbook
12,스토린랩,1,1,adapter_candidate,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,원스(1),1:1,209,209,175,175,large_column_count:1,채널상품명(10) | 상품명(8),채널상품ID(9) | 상품ID(7) | 키다리코드(5) | 코드(3) | 파트너ID(3),판매금액(9) | 판매총액(4) | 합계(3),정산액(10) | 입금액(8) | 정액제 정산대상액(4) | 정산처(2) | 정산유형(2) | 2차정산여부(2),취소금액(8),IOS | AOS | 쿠폰/시다무/포인트등 | 판매건수 | 취소건수 | 고객결제 | 고객결제(현금영수증) | 판매처 | 판매월 | 번호 | 상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 회차 | 상품ID | 코드 | 2차정산여부 | 카테고리 | 그림작가 | 정액제 정산대상액 | 판매금액 | 취소금액 | 합계 | 고객결제 서비스이용료 | 차감 | 정산유형 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx::원스,스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx,원스,opened,정리 | 원스 | 원스(북패스),209,175,1,41.0,"{""non_empty"": 51, ""keyword_hits"": 9, ""title_hits"": 1, ""money_hits"": 6, ""id_hits"": 4, ""data_like"": 0}",판매처 | 판매월 | 번호 | 상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 회차 | 상품ID | 코드 | 2차정산여부 | 카테고리 | 그림작가 | 판매건수 | 취소건수 | 정액제 정산대상액 | 판매건수 | 판매금액 | 취소건수 | 취소금액 | 합계 | 고객결제 | 고객결제(현금영수증) | IOS | AOS | 쿠폰/시다무/포인트등,1,multi_sheet_workbook
13,스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,43,43,137,137,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx::원스(북패스),스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx,원스(북패스),opened,정리 | 원스 | 원스(북패스),43,137,1,48.0,"{""non_empty"": 40, ""keyword_hits"": 11, ""title_hits"": 2, ""money_hits"": 6, ""id_hits"": 4, ""data_like"": 0}",판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 타입,1,multi_sheet_workbook
14,스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|타입|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,36,36,122,122,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 타입 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\8월\2025년 8월 스토린랩 정산상세.xlsx::원스(북패스),스토린랩\25년\8월\2025년 8월 스토린랩 정산상세.xlsx,원스(북패스),opened,정리 | 원스 | 원스(북패스),36,122,1,48.0,"{""non_empty"": 41, ""keyword_hits"": 11, ""title_hits"": 2, ""money_hits"": 6, ""id_hits"": 4, ""data_like"": 0}",판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 타입 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액,1,multi_sheet_workbook
15,스토린랩,1,1,adapter_candidate,판매처|판매월|번호|타이틀|작가|출판사|정산처|공급유형|분류|구분|장르|사용코인|사용금액|취소코인|취소금액|합계금액|결제|이벤트|합계코인|판매총액|입금액|정산율|정산액,무툰(1),1:1,3,3,180,180,large_column_count:1,타이틀(8),,판매총액(4) | 사용코인(3) | 합계금액(2) | 합계코인(2),정산액(10) | 입금액(8) | 정산처(2),취소금액(8) | 취소코인(3),판매처 | 판매월 | 번호 | 타이틀 | 작가 | 출판사 | 정산처 | 공급유형 | 분류 | 구분 | 장르 | 사용코인 | 사용금액 | 취소코인 | 취소금액 | 합계금액 | 결제 | 이벤트 | 합계코인 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx::무툰,스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx,무툰,opened,정리 | 무툰 | 원스 | 원스(북패스),3,180,1,34.0,"{""non_empty"": 23, ""keyword_hits"": 7, ""title_hits"": 1, ""money_hits"": 6, ""id_hits"": 1, ""data_like"": 0}",판매처 | 판매월 | 번호 | 타이틀 | 작가 | 출판사 | 정산처 | 공급유형 | 분류 | 구분 | 장르 | 사용코인 | 사용금액 | 취소코인 | 취소금액 | 합계금액 | 결제 | 이벤트 | 합계코인 | 판매총액 | 입금액 | 정산율 | 정산액,1,multi_sheet_workbook
16,스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,44,44,132,132,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx::원스(북패스),스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx,원스(북패스),opened,정리 | 무툰 | 원스 | 원스(북패스),44,132,1,48.0,"{""non_empty"": 40, ""keyword_hits"": 11, ""title_hits"": 2, ""money_hits"": 6, ""id_hits"": 4, ""data_like"": 0}",판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 카테고리 | 타입,1,multi_sheet_workbook
17,스토린랩,1,1,adapter_candidate,판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|채널상품명|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액,원스(북패스)(1),1:1,27,27,164,164,large_column_count:1,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 채널상품명 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액,스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx::원스(북패스),스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx,원스(북패스),opened,정리 | 원스 | 원스(북패스),27,164,1,48.0,"{""non_empty"": 41, ""keyword_hits"": 11, ""title_hits"": 2, ""money_hits"": 6, ""id_hits"": 4, ""data_like"": 0}",판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 채널상품명 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리,1,multi_sheet_workbook
18,판무림,8,8,adapter_candidate,no|시리즈코드|각권코드|대분류|중분류|작품제목|회차제목|저자|cp|출판사|웹판매건수|앱판매건수|판매금액|웹판매건수|앱판매건수|판매금액|이용건수|이용건수|판매금액|포인트사용|판매금액,세부내역(8),4:8,2192,4081,27,27,,작품 제목(8) | 회차 제목(6),각 권 코드(6) | 시리즈 코드(5),판매금액(9),,,판매금액 | 웹판매건수 | 앱판매건수 | 이용건수 | NO | 시리즈 코드 | 각 권 코드 | 대분류 | 중분류 | 작품 제목 | 회차 제목 | 저자 | CP | 출판사 | 포인트 사용,판무림\1월\2026년 1월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\10월\2025년 10월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\11월\2025년 11월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\12월\2025년 12월 판무림 정산상세.xlsx::세부내역 || 판무림\25년\9월\2025년 9월 판무림 정산상세.xlsx::세부내역,판무림\1월\2026년 1월 판무림 정산상세.xlsx,세부내역,opened,표지 | 세부내역,4081,27,4,35.0,"{""non_empty"": 21, ""keyword_hits"": 8, ""title_hits"": 3, ""money_hits"": 2, ""id_hits"": 2, ""data_like"": 0}",NO | 시리즈 코드 | 각 권 코드 | 대분류 | 중분류 | 작품 제목 | 회차 제목 | 저자 | CP | 출판사 | 웹판매건수 | 앱판매건수 | 판매금액 | 웹판매건수 | 앱판매건수 | 판매금액 | 이용건수 | 이용건수 | 판매금액 | 포인트 사용 | 판매금액,4,multi_sheet_workbook
19,판무림,1,1,manual_review,일반작품판매액|2927350,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\1월\2026년 1월 판무림 정산상세.xlsx::표지,판무림\1월\2026년 1월 판무림 정산상세.xlsx,표지,opened,표지 | 세부내역,990,10,12,8.9,"{""non_empty"": 2, ""keyword_hits"": 2, ""title_hits"": 1, ""money_hits"": 1, ""id_hits"": 0, ""data_like"": 1}",일반 작품 판매액 | 2927350,12 | 13,merged_cells=18; multi_sheet_workbook; repeated_internal_headers
20,판무림,1,1,manual_review,일반작품판매액|4031340,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\25년\10월\2025년 10월 판무림 정산상세.xlsx::표지,판무림\25년\10월\2025년 10월 판무림 정산상세.xlsx,표지,opened,표지 | 세부내역,990,10,12,8.9,"{""non_empty"": 2, ""keyword_hits"": 2, ""title_hits"": 1, ""money_hits"": 1, ""id_hits"": 0, ""data_like"": 1}",일반 작품 판매액 | 4031340,12 | 13,merged_cells=18; multi_sheet_workbook; repeated_internal_headers
21,판무림,1,1,manual_review,일반작품판매액|4275900,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\25년\11월\2025년 11월 판무림 정산상세.xlsx::표지,판무림\25년\11월\2025년 11월 판무림 정산상세.xlsx,표지,opened,표지 | 세부내역,990,10,12,8.9,"{""non_empty"": 2, ""keyword_hits"": 2, ""title_hits"": 1, ""money_hits"": 1, ""id_hits"": 0, ""data_like"": 1}",일반 작품 판매액 | 4275900,12 | 13,merged_cells=18; multi_sheet_workbook; repeated_internal_headers
22,판무림,1,1,manual_review,일반작품판매액|4283960,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\25년\12월\2025년 12월 판무림 정산상세.xlsx::표지,판무림\25년\12월\2025년 12월 판무림 정산상세.xlsx,표지,opened,표지 | 세부내역,990,10,12,8.9,"{""non_empty"": 2, ""keyword_hits"": 2, ""title_hits"": 1, ""money_hits"": 1, ""id_hits"": 0, ""data_like"": 1}",일반 작품 판매액 | 4283960,12 | 13,merged_cells=18; multi_sheet_workbook; repeated_internal_headers
23,판무림,1,1,manual_review,일반작품판매액|3606480,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\25년\9월\2025년 9월 판무림 정산상세.xlsx::표지,판무림\25년\9월\2025년 9월 판무림 정산상세.xlsx,표지,opened,표지 | 세부내역,990,10,12,8.9,"{""non_empty"": 2, ""keyword_hits"": 2, ""title_hits"": 1, ""money_hits"": 1, ""id_hits"": 0, ""data_like"": 1}",일반 작품 판매액 | 3606480,12 | 13,merged_cells=18; multi_sheet_workbook; repeated_internal_headers
24,판무림,1,1,manual_review,일반작품판매액|2906300,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\2월\2026년 2월 판무림 정산상세.xlsx::표지,판무림\2월\2026년 2월 판무림 정산상세.xlsx,표지,opened,표지 | 세부내역,990,10,12,8.9,"{""non_empty"": 2, ""keyword_hits"": 2, ""title_hits"": 1, ""money_hits"": 1, ""id_hits"": 0, ""data_like"": 1}",일반 작품 판매액 | 2906300,12 | 13,merged_cells=18; multi_sheet_workbook; repeated_internal_headers
25,판무림,1,1,manual_review,일반작품판매액|2019170,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\3월\2026년 3월 판무림 정산상세.xlsx::표지,판무림\3월\2026년 3월 판무림 정산상세.xlsx,표지,opened,표지 | 세부내역,990,10,12,8.9,"{""non_empty"": 2, ""keyword_hits"": 2, ""title_hits"": 1, ""money_hits"": 1, ""id_hits"": 0, ""data_like"": 1}",일반 작품 판매액 | 2019170,12 | 13,merged_cells=18; multi_sheet_workbook; repeated_internal_headers
26,판무림,1,1,manual_review,일반작품판매액|1574920,표지(1),12:1,990,990,10,10,merged_cells:1,일반 작품 판매액(2),,,,,일반 작품 판매액,판무림\4월\2026년 4월 판무림 정산상세.xlsx::표지,판무림\4월\2026년 4월 판무림 정산상세.xlsx,표지,opened,표지 | 세부내역,990,10,12,8.9,"{""non_empty"": 2, ""keyword_hits"": 2, ""title_hits"": 1, ""money_hits"": 1, ""id_hits"": 0, ""data_like"": 1}",일반 작품 판매액 | 1574920,12 | 13,merged_cells=18; multi_sheet_workbook; repeated_internal_headers
27,윌라,7,7,manual_review,__NO_SIGNATURE__::sheet::cols16,sheet(7),none:7,885,971,16,16,no_header_candidate:7,,,,,,,윌라\1월\2026년 1월 윌라 정산상세.xlsx::sheet || 윌라\25년\10월\2025년 10월 윌라 정산상세.xlsx::sheet || 윌라\25년\11월\2025년 11월 윌라 정산상세.xlsx::sheet || 윌라\25년\12월\2025년 12월 윌라 정산상세.xlsx::sheet || 윌라\25년\9월\2025년 윌라 9월 정산상세.xlsx::sheet,윌라\1월\2026년 1월 윌라 정산상세.xlsx,sheet,opened,sheet | 콘텐츠 가격 변동 이력,945,16,1,37.2,"{""non_empty"": 16, ""keyword_hits"": 10, ""title_hits"": 1, ""money_hits"": 4, ""id_hits"": 3, ""data_like"": 0}",No. | 판매 기간 | 콘텐츠 게시일 | 코드 | 콘텐츠명 | 출판사 | 저자 | 열람 수 | 열람 수(누적) | 판매 권 수 | 판매 권 수(누적) | 기준 권 수 | 정가 | 공급가 | 정산 금액 | 전자책ISBN,1,multi_sheet_workbook
28,윌라,7,7,manual_review,__NO_SIGNATURE__::콘텐츠 가격 변동 이력::cols1,콘텐츠 가격 변동 이력(7),none:7,1,1,1,1,no_header_candidate:7,,,,,,,윌라\1월\2026년 1월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 || 윌라\25년\10월\2025년 10월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 || 윌라\25년\11월\2025년 11월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 || 윌라\25년\12월\2025년 12월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 || 윌라\25년\9월\2025년 윌라 9월 정산상세.xlsx::콘텐츠 가격 변동 이력,윌라\1월\2026년 1월 윌라 정산상세.xlsx,콘텐츠 가격 변동 이력,opened,sheet | 콘텐츠 가격 변동 이력,1,1,,,,,,multi_sheet_workbook; no_header_candidate_after_rescan
29,구글,9,9,manual_review,__NO_SIGNATURE__::GoogleSalesTransactionReport::cols28,GoogleSalesTransactionReport(9),none:9,2930,6660,28,28,no_header_candidate:9 | large_row_count:6,,,,,,,구글\1월\2026년 1월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport || 구글\25년\10월\2025년 10월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport || 구글\25년\11월\2025년 11월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport || 구글\25년\12월\2025년 12월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport || 구글\25년\9월\2025년 8월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport,구글\1월\2026년 1월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,opened,GoogleSalesTransactionReport,6660,28,1,14.0,"{""non_empty"": 24, ""keyword_hits"": 2, ""title_hits"": 1, ""money_hits"": 1, ""id_hits"": 1, ""data_like"": 0}",Transaction Date | Id | Product | Type | Preorder | Qty | Primary ISBN | Imprint Name | Title | Author | Original List Price Currency | Original List Price | List Price Currency | List Price [tax inclusive] | List Price [tax exclusive] | Country of Sale | Publisher Revenue % | Publisher Revenue | Payment Currency | Payment Amount | Currency Conversion Rate | 담당팀 | 미국 원천징수세 | 법인세 차감 후 금액,1,
30,한아름,8,8,manual_review,시간매출|건당매출|총매출액|배분률|정산금액,Sheet1(7) | 정산내역서(1),27:7 | 19:1,2110,11865,11,11,merged_cells:7 | large_row_count:7,,,총매출액(15) | 시간매출(2) | 건당매출(2),정산금액(11),,시간매출 | 건당매출 | 총매출액 | 배분률 | 정산금액,한아름\1월\2025년 1월 한아름 정산상세.xlsx::Sheet1 || 한아름\25년\10월\2025년 10월 한아름 정산상세.xlsx::Sheet1 || 한아름\25년\11월\2025년 11월 한아름 정산상세.xlsx::Sheet1 || 한아름\25년\12월\2025년 12월 한아름 정산상세.xlsx::정산내역서 || 한아름\25년\9월\2025년 9월 한아름 정산상세.xlsx::Sheet1,한아름\1월\2025년 1월 한아름 정산상세.xlsx,Sheet1,opened,Sheet1,11865,11,27,13.0,"{""non_empty"": 5, ""keyword_hits"": 3, ""title_hits"": 0, ""money_hits"": 3, ""id_hits"": 0, ""data_like"": 0}",시간매출 | 건당매출 | 총매출액 | 배분률 | 정산금액,,merged_cells=22
31,구글,2,2,manual_review,__NO_SIGNATURE__::GoogleSalesTransactionReport::cols21,GoogleSalesTransactionReport(2),none:2,2930,5837,21,21,no_header_candidate:2 | large_row_count:1,,,,,,,구글\25년\9월\2025년 8월 구글 정산상세.xlsx::GoogleSalesTransactionReport || 구글\25년\9월\2025년 9월 구글 정산상세.xlsx::GoogleSalesTransactionReport,구글\25년\9월\2025년 8월 구글 정산상세.xlsx,GoogleSalesTransactionReport,opened,GoogleSalesTransactionReport,2930,21,1,10.0,"{""non_empty"": 21, ""keyword_hits"": 1, ""title_hits"": 1, ""money_hits"": 0, ""id_hits"": 1, ""data_like"": 0}",Transaction Date | Id | Product | Type | Preorder | Qty | Primary ISBN | Imprint Name | Title | Author | Original List Price Currency | Original List Price | List Price Currency | List Price [tax inclusive] | List Price [tax exclusive] | Country of Sale | Publisher Revenue % | Publisher Revenue | Payment Currency | Payment Amount | Currency Conversion Rate,,
