relative_path,sheet,header_hits
판무림\4월\2026년 4월 판무림 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
판무림\4월\2026년 4월 판무림 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
피플앤스토리\2월\2026년 2월 피플앤스토리 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
피플앤스토리\2월\2026년 2월 피플앤스토리 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
하이북\2월\2026년 2월 하이북 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
하이북\2월\2026년 2월 하이북 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
하이북\4월\2026년 4월 하이북 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
하이북\4월\2026년 4월 하이북 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
한아름\1월\2025년 1월 한아름 정산_2_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
한아름\2월\2026년 2월 한아름 정산_2_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
한아름\4월\2026년 4월 한아름 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
한아름\4월\2026년 4월 한아름 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 상계금액 | 판매금액
