batch,platform,schema_group_no,platform_total_sheets,platform_schema_group_count,schema_sheet_count,schema_file_count,schema_status,normalization_status,interpretation_label,origin_variant_signal,human_or_aux_signal,filename_human_work_hints,header_row_distribution,sheet_names,standard_상품명,standard_외부콘텐츠ID,standard_판매금액,standard_정산기준액,standard_상계금액,상품명_candidates,외부콘텐츠ID_candidates,판매금액_candidates,정산기준액_candidates,상계금액_candidates,flags,example,headers_preview
1/3,스토린랩,4,22,10,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation,one_off_schema_or_month_specific_export",,,1:1,원스(북패스)(1),채널상품명,채널상품ID,정액권 총매출액,정산액,,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 정산처(2) | 업체별 정산지급액(2),,large_column_count:1,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스(북패스),판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 채널상품명 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 매출지분 | 전체 이용금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액
1/3,스토린랩,5,22,10,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation,one_off_schema_or_month_specific_export",,,1:1,원스(1),채널상품명,채널상품ID,판매금액,정산액,취소금액,채널상품명(10) | 상품명(8),채널상품ID(9) | 상품ID(7) | 키다리코드(5) | 코드(3) | 파트너ID(3),판매금액(9) | 판매총액(4) | 합계(3),정산액(10) | 입금액(8) | 정액제 정산대상액(4) | 정산처(2) | 정산유형(2) | 2차정산여부(2),취소금액(8),large_column_count:1,스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx::원스,IOS | AOS | 쿠폰/시다무/포인트등 | 판매건수 | 취소건수 | 고객결제 | 고객결제(현금영수증) | 판매처 | 판매월 | 번호 | 상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 회차 | 상품ID | 코드 | 2차정산여부 | 카테고리 | 그림작가 | 정액제 정산대상액 | 판매금액 | 취소금액 | 합계 | 고객결제 서비스이용료 | 차감 | 정산유형 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액
1/3,스토린랩,6,22,10,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation,one_off_schema_or_month_specific_export",,,1:1,원스(북패스)(1),채널상품명,채널상품ID,정액권 총매출액,정산액,,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,large_column_count:1,스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx::원스(북패스),판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액
1/3,스토린랩,7,22,10,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation,one_off_schema_or_month_specific_export",,,1:1,원스(북패스)(1),채널상품명,채널상품ID,정액권 총매출액,정산액,,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,large_column_count:1,스토린랩\25년\8월\2025년 8월 스토린랩 정산상세.xlsx::원스(북패스),판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 타입 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액
1/3,스토린랩,8,22,10,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation,one_off_schema_or_month_specific_export",,,1:1,무툰(1),타이틀,,판매총액,정산액,취소금액,타이틀(8),,판매총액(4) | 사용코인(3) | 합계금액(2) | 합계코인(2),정산액(10) | 입금액(8) | 정산처(2),취소금액(8) | 취소코인(3),large_column_count:1,스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx::무툰,판매처 | 판매월 | 번호 | 타이틀 | 작가 | 출판사 | 정산처 | 공급유형 | 분류 | 구분 | 장르 | 사용코인 | 사용금액 | 취소코인 | 취소금액 | 합계금액 | 결제 | 이벤트 | 합계코인 | 판매총액 | 입금액 | 정산율 | 정산액
1/3,스토린랩,9,22,10,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation,one_off_schema_or_month_specific_export",,,1:1,원스(북패스)(1),채널상품명,채널상품ID,정액권 총매출액,정산액,,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 정산처(2) | 업체별 정산지급액(2),,large_column_count:1,스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx::원스(북패스),판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액
1/3,스토린랩,10,22,10,1,1,adapter_candidate,ok_for_adapter_design,origin_variant,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation,one_off_schema_or_month_specific_export",,,1:1,원스(북패스)(1),채널상품명,채널상품ID,정액권 총매출액,정산액,,채널상품명(10) | 이용상품명(5) | 정액권 상품명(5),채널상품ID(9) | 키다리코드(5) | 도서바코드(5) | 이용상품ID(5) | 정액권 상품ID(5) | 코드(3),정액권 총매출액(9) | 판매총액(4) | 매출지분(2) | 매출사업자(2),정산액(10) | 입금액(8) | 상품별 정산금액(5) | 정산처(2) | 업체별 정산지급액(2),,large_column_count:1,스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx::원스(북패스),판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 채널상품명 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이용금액 | 상품별 정산금액 | 카테고리 | 타입 | 건수 | 판매총액 | 입금액 | 정산율 | 정산액
1/3,판무림,1,16,9,8,8,adapter_candidate,ok_for_adapter_design,origin_variant,same_platform_multiple_header_or_sheet_groups,,,4:8,세부내역(8),작품 제목,각 권 코드,판매금액,,,작품 제목(8) | 회차 제목(6),각 권 코드(6) | 시리즈 코드(5),판매금액(9),,,,판무림\1월\2026년 1월 판무림 정산상세.xlsx::세부내역,판매금액 | 웹판매건수 | 앱판매건수 | 이용건수 | NO | 시리즈 코드 | 각 권 코드 | 대분류 | 중분류 | 작품 제목 | 회차 제목 | 저자 | CP | 출판사 | 포인트 사용
1/3,판무림,2,16,9,1,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,12:1,표지(1),일반 작품 판매액,,,,,일반 작품 판매액(2),,,,,merged_cells:1,판무림\1월\2026년 1월 판무림 정산상세.xlsx::표지,일반 작품 판매액
1/3,판무림,3,16,9,1,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,12:1,표지(1),일반 작품 판매액,,,,,일반 작품 판매액(2),,,,,merged_cells:1,판무림\25년\10월\2025년 10월 판무림 정산상세.xlsx::표지,일반 작품 판매액
1/3,판무림,4,16,9,1,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,12:1,표지(1),일반 작품 판매액,,,,,일반 작품 판매액(2),,,,,merged_cells:1,판무림\25년\11월\2025년 11월 판무림 정산상세.xlsx::표지,일반 작품 판매액
1/3,판무림,5,16,9,1,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,12:1,표지(1),일반 작품 판매액,,,,,일반 작품 판매액(2),,,,,merged_cells:1,판무림\25년\12월\2025년 12월 판무림 정산상세.xlsx::표지,일반 작품 판매액
1/3,판무림,6,16,9,1,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,12:1,표지(1),일반 작품 판매액,,,,,일반 작품 판매액(2),,,,,merged_cells:1,판무림\25년\9월\2025년 9월 판무림 정산상세.xlsx::표지,일반 작품 판매액
1/3,판무림,7,16,9,1,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,12:1,표지(1),일반 작품 판매액,,,,,일반 작품 판매액(2),,,,,merged_cells:1,판무림\2월\2026년 2월 판무림 정산상세.xlsx::표지,일반 작품 판매액
1/3,판무림,8,16,9,1,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,12:1,표지(1),일반 작품 판매액,,,,,일반 작품 판매액(2),,,,,merged_cells:1,판무림\3월\2026년 3월 판무림 정산상세.xlsx::표지,일반 작품 판매액
1/3,판무림,9,16,9,1,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,12:1,표지(1),일반 작품 판매액,,,,,일반 작품 판매액(2),,,,,merged_cells:1,판무림\4월\2026년 4월 판무림 정산상세.xlsx::표지,일반 작품 판매액
1/3,윌라,1,14,2,7,7,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,same_platform_multiple_header_or_sheet_groups,header_not_detected_or_non_detail_sheet,,none:7,sheet(7),,,,,,,,,,,no_header_candidate:7,윌라\1월\2026년 1월 윌라 정산상세.xlsx::sheet,
1/3,윌라,2,14,2,7,7,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,same_platform_multiple_header_or_sheet_groups,"header_not_detected_or_non_detail_sheet,auxiliary_sheet_name_signal",,none:7,콘텐츠 가격 변동 이력(7),,,,,,,,,,,no_header_candidate:7,윌라\1월\2026년 1월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력,
1/3,한아름,1,11,3,8,8,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,scale_or_used_range_variation",,,27:7 | 19:1,Sheet1(7) | 정산내역서(1),,,총매출액,정산금액,,,,총매출액(15) | 시간매출(2) | 건당매출(2),정산금액(11),,merged_cells:7 | large_row_count:7,한아름\1월\2025년 1월 한아름 정산상세.xlsx::Sheet1,시간매출 | 건당매출 | 총매출액 | 배분률 | 정산금액
1/3,한아름,2,11,3,2,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,scale_or_used_range_variation",,,4:2,한아름(1) | 아름북스(1),작품명,,,,,작품명(10),,,,,merged_cells:2 | large_row_count:1,한아름\25년\12월\2025년 12월 한아름 정산상세.xlsx::한아름,BOOK NO | 업체명 | 구분 | 출판사 | 작가명 | 속성 | 작품명 | 권수 | 권당 | 판매 | 금액
1/3,한아름,3,11,3,1,1,manual_review,needs_manual_review_before_adapter,origin_variant,"same_platform_multiple_header_or_sheet_groups,merged_layout_template,one_off_schema_or_month_specific_export",,,4:1,시간로그(1),작품명,,,,,작품명(10),,,,,merged_cells:1,한아름\25년\12월\2025년 12월 한아름 정산상세.xlsx::시간로그,BOOK NO | 섹션 | 작가명 | 출판사 | 작품명 | 히트
1/3,구글,1,11,2,9,9,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation",header_not_detected_or_non_detail_sheet,,none:9,GoogleSalesTransactionReport(9),,,,,,,,,,,no_header_candidate:9 | large_row_count:6,구글\1월\2026년 1월 구글 정산상세(법인세).xlsx::GoogleSalesTransactionReport,
1/3,구글,2,11,2,2,2,manual_review,needs_manual_review_before_adapter,uncertain_mixed_origin_and_human_or_aux_signal,"same_platform_multiple_header_or_sheet_groups,scale_or_used_range_variation",header_not_detected_or_non_detail_sheet,,none:2,GoogleSalesTransactionReport(2),,,,,,,,,,,no_header_candidate:2 | large_row_count:1,구글\25년\9월\2025년 8월 구글 정산상세.xlsx::GoogleSalesTransactionReport,
1/3,미소설,1,9,2,5,5,adapter_candidate,ok_for_adapter_design,uncertain_mixed_origin_and_human_or_aux_signal,same_platform_multiple_header_or_sheet_groups,"hidden_or_auxiliary_sheet_signal,filename_human_work_signal","미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx (확장,체크)",1:5,cpexcel20260303100057(2) | cpexcel20260202130320(1) | cpexcel20260401093554(1) | cpexcel20260504104935(1),타이틀,작품번호,전체매출(원),수익률,결제수수료(원),타이틀(8),작품번호(3),전체매출(원)(4),수익률(2),결제수수료(원)(4),hidden_columns:1,미소설\1월\2026년 1월 미소설 정산상세.xlsx::cpexcel20260202130320,타이틀 | 작품번호 | 작가명 | 날짜 | 종류 | 전체 판매 건수 | 판매 코인 | 수익률 | 전체매출(원) | 결제수수료(원) | 지급액(원) 미소설 | 지급액(원) ASP | 총지급액(원)
1/3,미소설,2,9,2,4,4,adapter_candidate,ok_for_adapter_design,uncertain_mixed_origin_and_human_or_aux_signal,same_platform_multiple_header_or_sheet_groups,filename_human_work_signal,"미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx (확장,체크)",1:4,cpexcel20251103090930(1) | cpexcel20251201091341(1) | cpexcel20260102093612(1) | 2025년 8월 에피루스 정산상세(1),타이틀,,전체매출(원),수익률,결제수수료(원),타이틀(8),,전체매출(원)(4),수익률(2),결제수수료(원)(4),,미소설\25년\10월\2025년 10월 미소설 정산상세.xlsx::cpexcel20251103090930,타이틀 | 날짜 | 종류 | 전체 판매 건수 | 판매 코인 | 수익률 | 전체매출(원) | 결제수수료(원) | 지급액(원) 미소설 | 지급액(원) ASP | 총지급액(원)
