amount_rule_status,clean_title_blank_in_smoke,default_feed_rows,error,mapping_engine_smoke_status,mapping_smoke_matched,mapping_smoke_review_rows,mapping_smoke_rows,materialization_status,parsed_rows_all_files,parser_contract,period_file_count,platform,s2_amount_policy_locked,s2_projection_status
candidate_confirmed_after_reconcile,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,sheet_whitelist_plus_legacy_exclusion,0,북팔,True,s2_projection_candidate_after_policy
candidate_confirmed_after_reconcile,0,63,,pass_after_substitution,63,0,63,materialized_default_feed,63,single_header_with_merged_cells,1,블라이스,True,s2_projection_candidate_after_policy
candidate_confirmed_after_reconcile,0,7,,pass_after_substitution,7,0,7,materialized_default_feed,7,single_header,1,스낵북,True,s2_projection_candidate_after_policy
needs_subadapter_policy,0,176,,pass_with_review,11,165,176,materialized_default_feed,176,schema_signature_subadapters,1,스토린랩,False,s2_projection_blocked_by_amount_or_policy
candidate_confirmed_after_reconcile,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,single_header,0,신영미디어,True,s2_projection_candidate_after_policy
needs_cancel_policy,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,single_header,0,알라딘,False,s2_projection_blocked_by_amount_or_policy
blocked_non_content_ledger,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,ledger_not_content_sales,0,알라딘 종이책,False,s2_projection_blocked_non_s2_source
candidate_confirmed_after_reconcile,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,single_header_plus_summary_exclusion,0,에이블리,True,s2_projection_candidate_after_policy
candidate_confirmed_after_reconcile,0,461,,pass_with_review,18,445,461,materialized_default_feed,461,single_header,1,에피루스,True,s2_projection_candidate_after_policy
needs_policy,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,single_header,0,예스24,False,s2_projection_blocked_by_amount_or_policy
needs_fee_policy,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,single_header,0,올툰,False,s2_projection_blocked_by_amount_or_policy
needs_policy,0,19607,,pass_with_review,1000,1,1000,materialized_default_feed,19607,wide_single_header_limited_columns,1,원스토어,False,s2_projection_blocked_by_amount_or_policy
needs_policy,0,883,,pass_with_review,9,874,883,materialized_default_feed,883,sheet_whitelist_single_header,1,윌라,False,s2_projection_blocked_by_amount_or_policy
needs_derived_sale_policy,0,217,,pass_with_review,180,37,217,materialized_default_feed,217,schema_signature_variants,5,조아라,False,s2_projection_blocked_by_amount_or_policy
needs_tax_policy,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,merged_header_single_table,0,카카오,False,s2_projection_blocked_by_amount_or_policy
needs_coin_policy,0,25,,pass_with_review,23,2,25,materialized_default_feed,25,merged_header_coin_table,1,큐툰,False,s2_projection_blocked_by_amount_or_policy
needs_tax_split_policy,0,45,,pass_after_substitution,45,0,45,materialized_default_feed,45,single_header_variants,1,토스(구루컴퍼니),False,s2_projection_blocked_by_amount_or_policy
needs_contextual_amount_policy,0,3331,,pass_with_review,993,7,1000,materialized_default_feed,3331,cover_exclusion_contextual_amount_flatten,1,판무림,False,s2_projection_blocked_by_amount_or_policy
candidate_confirmed_after_reconcile,0,0,,skipped_no_default_feed,0,0,0,no_period_source,0,single_header,0,피우리(누온),True,s2_projection_candidate_after_policy
candidate_confirmed_after_reconcile,0,4,,pass_after_substitution,4,0,4,materialized_default_feed,4,single_header_with_small_sample_gate,1,피플앤스토리,True,s2_projection_candidate_after_policy
needs_purchase_rental_policy,0,355,,pass_with_review,295,60,355,materialized_default_feed,355,single_header,1,하이북,False,s2_projection_blocked_by_amount_or_policy
needs_section_policy,0,9253,,pass_with_review,984,16,1000,materialized_default_feed,9253,multi_section_repeated_header_parser,1,한아름,False,s2_projection_blocked_by_amount_or_policy
