청구정산마스터ID,계약ID,판매채널ID,판매채널명,대표콘텐츠명,정제_대표콘텐츠명,청구정산상태,승인상태,거래처명,계약명,계약종료일,계약콘텐츠수,담당자,담당부서,분리사유
601081,84754,554,레진JP(봄툰B2BC)(F000000019),그래서 누가 깔린건데?,그래서누가깔린건데,운영중,미승인,레진엔터테인먼트,20260318_그래서 누가 깔린건데?외3_레진엔터테인먼트,2025-10-20,1,최세은,소싱2팀,청구정산 후보
601080,84753,563,벨툰JP(봄툰B2BC)(F000000019),쿼바디스 도미네,쿼바디스도미네,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601079,84753,563,벨툰JP(봄툰B2BC)(F000000019),고스트 인 더 타운,고스트인더타운,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601078,84753,563,벨툰JP(봄툰B2BC)(F000000019),백야의 꽃길,백야의꽃길,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601077,84753,563,벨툰JP(봄툰B2BC)(F000000019),종가 브레이커,종가브레이커,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601076,84753,563,벨툰JP(봄툰B2BC)(F000000019),짝사랑 필승법,짝사랑필승법,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601075,84753,563,벨툰JP(봄툰B2BC)(F000000019),주의 평화,주의평화,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601074,84753,563,벨툰JP(봄툰B2BC)(F000000019),인 마이 배드(In My Bad),인마이배드,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601073,84753,563,벨툰JP(봄툰B2BC)(F000000019),달리 인 달리 아웃,달리인달리아웃,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601072,84753,563,벨툰JP(봄툰B2BC)(F000000019),너는 나의 세상,너는나의세상,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601071,84753,563,벨툰JP(봄툰B2BC)(F000000019),개과천선은 어려워,개과천선은어려워,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601070,84753,563,벨툰JP(봄툰B2BC)(F000000019),종가 브레이커,종가브레이커,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601069,84753,554,레진JP(봄툰B2BC)(F000000019),쿼바디스 도미네,쿼바디스도미네,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601068,84753,554,레진JP(봄툰B2BC)(F000000019),고스트 인 더 타운,고스트인더타운,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601067,84753,554,레진JP(봄툰B2BC)(F000000019),백야의 꽃길,백야의꽃길,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601066,84753,554,레진JP(봄툰B2BC)(F000000019),종가 브레이커,종가브레이커,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601065,84753,554,레진JP(봄툰B2BC)(F000000019),짝사랑 필승법,짝사랑필승법,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601064,84753,554,레진JP(봄툰B2BC)(F000000019),주의 평화,주의평화,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601063,84753,554,레진JP(봄툰B2BC)(F000000019),인 마이 배드(In My Bad),인마이배드,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601062,84753,554,레진JP(봄툰B2BC)(F000000019),달리 인 달리 아웃,달리인달리아웃,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601061,84753,554,레진JP(봄툰B2BC)(F000000019),너는 나의 세상,너는나의세상,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601060,84753,554,레진JP(봄툰B2BC)(F000000019),개과천선은 어려워,개과천선은어려워,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601059,84753,554,레진JP(봄툰B2BC)(F000000019),종가 브레이커,종가브레이커,운영중,미승인,레진엔터테인먼트,20260318_종가 브레이커외10_레진엔터테인먼트,2025-09-15,1,최세은,소싱2팀,청구정산 후보
601058,84750,31,카카오페이지(선투자),(카카오선투자) 강동호 작가 작품 일체,강동호작가작품일체,운영중,승인,주식회사 카카오엔터테인먼트,20260318_(카카오선투자) 강동호 작가 작품 일체_주식회사 카카오엔터테인먼트,2026-03-18,1,홍지표,소설편집팀,청구정산 후보
601057,84688,35,네이버_연재,[사용안함]_푸드트럭으로 요리재벌_아즐란,푸드트럭으로요리재벌아즐란,운영중,승인,네이버웹툰 유한회사,20260312_네이버-키다리 부속합의_푸드트럭으로 요리재벌_네이버웹툰 유한회사,2026-03-12,1,조원재,소설편집팀,청구정산 후보
601056,84687,433,티캐스트,아델라인 : 멈춰진 시간,아델라인멈춰진시간,운영중,승인,티캐스트,20260312_강철비2: 정상회담외4_티캐스트,2025-12-15,1,이희연,Sql Error,청구정산 후보
601055,84687,433,티캐스트,베이루트: 리미티드 아워,베이루트리미티드아워,운영중,승인,티캐스트,20260312_강철비2: 정상회담외4_티캐스트,2025-12-15,1,이희연,Sql Error,청구정산 후보
601054,84687,433,티캐스트,구세주2,구세주,운영중,승인,티캐스트,20260312_강철비2: 정상회담외4_티캐스트,2025-12-15,1,이희연,Sql Error,청구정산 후보
601053,84687,433,티캐스트,구세주1,구세주,운영중,승인,티캐스트,20260312_강철비2: 정상회담외4_티캐스트,2025-12-15,1,이희연,Sql Error,청구정산 후보
601052,84687,433,티캐스트,강철비2: 정상회담,강철비정상회담,운영중,승인,티캐스트,20260312_강철비2: 정상회담외4_티캐스트,2025-12-15,1,이희연,Sql Error,청구정산 후보
601051,84686,1275,씨제이이엔엠(방영권),타이밍,타이밍,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601050,84686,1275,씨제이이엔엠(방영권),착한 엄마들,착한엄마들,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601049,84686,1275,씨제이이엔엠(방영권),엄마 섹스,엄마섹스,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601048,84686,1275,씨제이이엔엠(방영권),친구엄마들 4,친구엄마들,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601047,84686,1275,씨제이이엔엠(방영권),"한남자 세여자: 아내, 장모, 형수",한남자세여자아내장모형수,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601046,84686,1275,씨제이이엔엠(방영권),밀애: 새엄마와 의붓아들 그리고,밀애새엄마와의붓아들그리고,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601045,84686,1275,씨제이이엔엠(방영권),새엄마가 된 친구엄마,새엄마가된친구엄마,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601044,84686,1275,씨제이이엔엠(방영권),친구엄마 길들이기,친구엄마길들이기,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601043,84686,1275,씨제이이엔엠(방영권),엄마 친구들 6,엄마친구들,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601042,84686,1275,씨제이이엔엠(방영권),새엄마: 오늘은 제가 해드릴게요,새엄마오늘은제가해드릴게요,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601041,84686,1275,씨제이이엔엠(방영권),내 학생의 엄마 7,내학생의엄마,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601040,84686,1275,씨제이이엔엠(방영권),인천상륙작전,인천상륙작전,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601039,84686,1275,씨제이이엔엠(방영권),적인걸: 음병요괴,적인걸음병요괴,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601038,84686,1275,씨제이이엔엠(방영권),구룡성채: 철권고영,구룡성채철권고영,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601037,84686,1275,씨제이이엔엠(방영권),혈전,혈전,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601036,84686,1275,씨제이이엔엠(방영권),기문둔갑: 노산도사,기문둔갑노산도사,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601035,84686,1275,씨제이이엔엠(방영권),보스,보스,운영중,승인,주식회사 씨제이이엔엠,20260312_보스외16_주식회사 씨제이이엔엠,2025-12-10,1,이희연,Sql Error,청구정산 후보
601034,84507,34,네이버_연재(광고수익),[정산정보없음]_얼굴 천재 아역이 연기를 잘함_웹소설 마스터콘텐츠라이선스계약_부속계약_주간무연시,얼굴천재아역이연기를잘함웹소설마스터콘텐츠라이선스계약부속계약주간무연시,운영중,미승인,네이버웹툰 유한회사,20260303_얼굴 천재 아역이 연기를 잘함_웹소설 마스터콘텐츠라이선스계약_부속계약_주간무연시_네이버웹툰 유한회사,2026-03-03,1,김경민,소설편집팀,청구정산 후보
601033,84507,35,네이버_연재,[정산정보없음]_얼굴 천재 아역이 연기를 잘함_웹소설 마스터콘텐츠라이선스계약_부속계약_주간무연시,얼굴천재아역이연기를잘함웹소설마스터콘텐츠라이선스계약부속계약주간무연시,운영중,승인,네이버웹툰 유한회사,20260303_얼굴 천재 아역이 연기를 잘함_웹소설 마스터콘텐츠라이선스계약_부속계약_주간무연시_네이버웹툰 유한회사,2026-03-03,1,김경민,소설편집팀,청구정산 후보
601032,84501,1107,블라이스 셀렉트,남동생이 꽃길을 강요한다,남동생이꽃길을강요한다,운영중,승인,주식회사 밀리의서재,20260303_사장님과 금비서_주식회사 밀리의서재,2026-02-28,1,이혜정,Sql Error,청구정산 후보
