판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제_콘텐츠명,판매채널ID,판매채널명,그룹콘텐츠ID,그룹콘텐츠명,플랫폼콘텐츠ID,콘텐츠형태,콘텐츠상태,최초연재일,담당자,담당부서,정산시작여부,제외사유
126725,125509,크리티컬 스테이지(Critical Stage),크리티컬스테이지,1,봄툰KR(1068149784),469280,크리티컬스테이지(CriticalStage),14510,소설,완결,2020-07-22,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
126733,125517,스윗 펀치 드렁크,스윗펀치드렁크,1,봄툰KR(1068149784),469288,스윗펀치드렁크,15931,소설,완결,2020-12-01,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
126804,125588,짙은 여울,짙은여울,1,봄툰KR(1068149784),469349,짙은여울,28364,소설,완결,2023-05-20,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
127002,125777,드림 캐쳐,드림캐쳐,1,봄툰KR(1068149784),469492,드림캐쳐,13294,소설,완결,2020-03-16,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
127025,125800,친근한 가정의 모범사례집,친근한가정의모범사례집,1,봄툰KR(1068149784),469515,친근한가정의모범사례집,16842,소설,완결,2021-01-19,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
127318,126085,설탕은 먼저 녹아든다,설탕은먼저녹아든다,1,봄툰KR(1068149784),469747,설탕은먼저녹아든다,13528,소설,완결,2020-04-10,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
127350,126115,할로윈 이펙트,할로윈이펙트,1,봄툰KR(1068149784),469776,할로윈이펙트,17462,소설,완결,2021-03-22,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
127353,126118,이 남자의 연애수난기,이남자의연애수난기,1,봄툰KR(1068149784),469779,[BL]이남자의연애수난기,18060,소설,완결,2021-05-05,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
127357,126121,핫 앤 콜드(Hot&Cold),핫앤콜드,1,봄툰KR(1068149784),469782,핫앤콜드(Hot&Cold),18545,소설,완결,2021-06-24,남단미,패밀리케어팀,Y,S2 정산정보 누락 건 등재
127414,126177,철수야 뭐하니?,철수야뭐하니,1,봄툰KR(1068149784),469829,철수야뭐하니?,25441,소설,완결,2022-11-18,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
127742,126496,공작 부인은 하고 싶어도,공작부인은하고싶어도,1,봄툰KR(1068149784),470089,공작부인은하고싶어도,27888,소설,완결,2023-04-21,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
127831,126585,제작하러 S급 던전에 들어갑니다,제작하러s급던전에들어갑니다,1,봄툰KR(1068149784),464186,와이앤케이미디어,35692,소설,완결,2024-06-03,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
127989,126734,한 걸음의 미학,한걸음의미학,1,봄툰KR(1068149784),470253,한걸음의미학,15633,소설,완결,2020-10-14,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128022,126765,"무수리 문복자, 후궁 되다",무수리문복자후궁되다,1,봄툰KR(1068149784),470279,"무수리문복자,후궁되다",21809,소설,완결,2022-02-11,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128026,126769,막장드라마에 갇혀버렸다,막장드라마에갇혀버렸다,1,봄툰KR(1068149784),470283,막장드라마에갇혀버렸다,22862,소설,완결,2022-05-02,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128272,127009,별의 궤도,별의궤도,1,봄툰KR(1068149784),438980,별의궤도,12244,소설,완결,2019-12-10,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128318,127052,달을 쫓는 하운드,달을쫓는하운드,1,봄툰KR(1068149784),470488,달을쫓는하운드,18540,소설,완결,2021-05-27,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128343,127076,공포게임의 악역은 밤마다 여주인공의 꿈을 꾼다,공포게임의악역은밤마다여주인공의꿈을꾼다,1,봄툰KR(1068149784),470508,공포게임의악역은밤마다여주인공의꿈을꾼다,22542,소설,완결,2022-04-07,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128588,127310,디어 조지 (Dear. George),디어조지,1,봄툰KR(1068149784),466985,디어조지,14061,소설,완결,2020-07-01,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128594,127316,과자로 만든 집,과자로만든집,1,봄툰KR(1068149784),470702,과자로만든집,15202,소설,완결,2020-09-19,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
128601,127321,사육욕,사육욕,1,봄툰KR(1068149784),470707,사육욕,16121,소설,완결,2020-11-23,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
