cntrId,pymtSetlId,pymtSetlDtlId,pymtSetlSetmId,pymtSetlSetmYn,schnCtnsId,ctnsId,ctnsNm,pencNm,bcncNm,setlCyclCd,schnNm,ctnsStleCdNm,adpycPymtTyCd,adpycPymtTyCdNm,adpycStoffBlceTyCd,adpycStoffBlceTyCdNm,adpycCntrAmt,adpycPymtAmt,adpycStoffAmt,adpycStoffTyCdNm,adpycDprtTyCdNm,srcCrcy,pymtCrcy,rsSetlMthCd,rsSetlMthCdNm,webCoinUnpc,webCoinUnpcWithRt,appCoinUnpc,appCoinUnpcWithRt,webSetlRt,appSetlRt,rsSetlBnusCoinYn,cnfmStsCd,cnfmStsCdNm,pymtSetlStsCdNm,extOsamRsRt,extGramRsRt,chgerNm,chrgDeptNm,cretDtm,cnfmYn,승인상태,지급정산상태,판매채널명,콘텐츠형태,콘텐츠명,지급정산마스터ID,지급정산상세ID,콘텐츠ID,판매채널콘텐츠ID,지급정산마스터 등록 일자
0,108706,108706,108706,Y,157520.0,154962,노예로 산다는 것,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,노예로 산다는 것,108706,108706,154962,157520.0,2024-12-31T12:00:00
0,108705,108705,108705,Y,127071.0,125845,노머니 노허니,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,노머니 노허니,108705,108705,125845,127071.0,2024-12-31T12:00:00
0,108704,108704,108704,Y,151155.0,148915,너티콜,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,너티콜,108704,108704,148915,151155.0,2024-12-31T12:00:00
0,108703,108703,108703,Y,132770.0,131323,너티 더티 스위티,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,너티 더티 스위티,108703,108703,131323,132770.0,2024-12-31T12:00:00
0,108702,108702,108702,Y,481192.0,241137,남주가 돈으로 나를 조련한다,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,남주가 돈으로 나를 조련한다,108702,108702,241137,481192.0,2024-12-31T12:00:00
0,108701,108701,108701,Y,480890.0,240840,그 대공의 불행을 끝낼 마지막 약혼녀,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,그 대공의 불행을 끝낼 마지막 약혼녀,108701,108701,240840,480890.0,2024-12-31T12:00:00
0,108700,108700,108700,Y,144787.0,142832,귀족의 창부,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,귀족의 창부,108700,108700,142832,144787.0,2024-12-31T12:00:00
0,108699,108699,108699,Y,483491.0,243409,귀신과 함부로 약속하지 말 것,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,귀신과 함부로 약속하지 말 것,108699,108699,243409,483491.0,2024-12-31T12:00:00
0,108698,108698,108698,Y,481556.0,241495,괴물을 사냥하는 방법,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,괴물을 사냥하는 방법,108698,108698,241495,481556.0,2024-12-31T12:00:00
0,108697,108697,108697,Y,123384.0,122277,곽두팔 단편집,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,종료,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,종료,봄툰KR(1068149784),소설,곽두팔 단편집,108697,108697,122277,123384.0,2024-12-31T12:00:00
0,108696,108696,108696,Y,156311.0,153821,공주님 내 불행을 가져가 주세요!,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,공주님 내 불행을 가져가 주세요!,108696,108696,153821,156311.0,2024-12-31T12:00:00
0,108695,108695,108695,Y,153143.0,150815,공작가 양아치 오메가,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,공작가 양아치 오메가,108695,108695,150815,153143.0,2024-12-31T12:00:00
0,108694,108694,108694,Y,130600.0,129241,골 때리는 동정,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,골 때리는 동정,108694,108694,129241,130600.0,2024-12-31T12:00:00
0,108693,108693,108693,Y,480667.0,240620,고양이는 캣닢을 싫어한다,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,고양이는 캣닢을 싫어한다,108693,108693,240620,480667.0,2024-12-31T12:00:00
0,108692,108692,108692,Y,481126.0,241072,고백이 아니라 통보,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,고백이 아니라 통보,108692,108692,241072,481126.0,2024-12-31T12:00:00
0,108691,108691,108691,Y,481508.0,241447,계약에 함부로 동의하지 말 것,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,계약에 함부로 동의하지 말 것,108691,108691,241447,481508.0,2024-12-31T12:00:00
0,108690,108690,108690,Y,480964.0,240913,"결혼, 열",,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,"결혼, 열",108690,108690,240913,480964.0,2024-12-31T12:00:00
0,108689,108689,108689,Y,482109.0,242041,결혼 합의서,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,결혼 합의서,108689,108689,242041,482109.0,2024-12-31T12:00:00
0,108688,108688,108688,Y,480494.0,240449,"겨울, 겨울, 겨울, 겨울",,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,"겨울, 겨울, 겨울, 겨울",108688,108688,240449,480494.0,2024-12-31T12:00:00
